,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,-1505.3505818611384,-1476.4933162303712,-1217.6626535317218,-1141.7436859073457,-799.3706545777414,-887.4150795871567,0
1,-1137.6511056425097,-1165.9180248780888,-987.9057228243902,-1246.8877852931876,-1224.0548284344857,-1443.3295873110228,2000
2,-898.0301160559753,-1308.6433066812815,-1414.7389244641265,-1031.9954270749681,-1211.5703424910469,-1317.8047177004107,4000
3,-1196.9529284362116,-1296.5583284880645,-1597.4618357535041,-1159.4077397812862,-1227.5567542943063,-1262.4165082013258,6000
4,-1094.3083830697753,-1680.950840954442,-1068.8370225577514,-1438.4812031143895,-754.9173301954172,-1495.972698573777,8000
5,-1004.9304679920936,-1035.5394531519387,-1047.1488678751105,-908.0383452328107,-1153.6825826629847,-1148.3292100677281,10000
6,-967.3088871745126,-1165.399181023373,-1076.8231081075292,-1393.0977476842513,-1312.8896282783405,-1277.0811167377253,12000
7,-1174.2883654751024,-1064.807404603447,-1212.2923054431408,-1019.8926661939637,-1195.3250740408955,-1413.217339809527,14000
8,-1585.0379588476583,-1653.3818405411434,-1647.1726873816413,-1601.3214161686521,-1535.2215024373888,-1641.3057915533363,16000
9,-1527.2189974327298,-1597.5700244722477,-1499.129090011594,-1551.5628276285279,-1486.549792628178,-1531.1947257766153,18000
10,-1634.3581674388079,-1587.1891695689628,-1643.1374211923014,-1657.7832666832692,-1495.5974448518978,-1656.819260503828,20000
11,-1472.4684352224842,-1649.4991717132375,-1651.6606245028397,-1506.2016298271517,-1566.8578864606739,-1648.7802387344855,22000
12,-1485.0385260531639,-1592.7792880684447,-1504.2884052668028,-1544.307172802516,-1597.0252140887337,-1651.3415260620443,24000
13,-1650.7800005235338,-1591.808017392312,-1523.3615036000624,-1650.1879618655757,-1617.636891327916,-1573.7477962537237,26000
14,-1517.3852197316078,-1532.1507306509002,-1640.5813089019368,-1478.6030534046363,-1562.7706053173908,-1439.3508094334675,28000
15,-1589.2317304063256,-1615.9120449619304,-1647.0122681154537,-1609.8818404968508,-1624.5459514361903,-1501.4021660319652,30000
16,-1649.1660183378156,-1649.7370741774773,-1540.8264757424488,-1511.460163653193,-1556.7225166024423,-1597.0522432397127,32000
17,-1558.2921242537395,-1614.44300251749,-1404.59752984703,-1619.166196072307,-1587.8847944588356,-1638.6880147689699,34000
18,-1644.367919362754,-1626.8594163670957,-1645.301650301578,-1558.598985849143,-1518.8474093231016,-1607.6965397599904,36000
19,-1549.9943935615688,-1520.346163733527,-1509.1456866311132,-1651.2535403073891,-1621.1028035953411,-1529.8765413581161,38000
20,-1514.997202581783,-1539.9130520043582,-1582.5048687322906,-1516.7725099356132,-1531.3899028314872,-1568.4481739410044,40000
21,-1492.2636317504553,-1608.2603603905848,-1528.5575172681768,-1440.0250162626648,-1588.1416774669497,-1542.2198832886793,42000
22,-1439.7033233417792,-1587.3050681311393,-1645.6356947386853,-1560.9990074498135,-1502.8889565767222,-1513.935192229022,44000
23,-1647.9738800493972,-1583.6370160262063,-1540.5257886743098,-1578.1573015861745,-1625.8599287147676,-1561.7257669779092,46000
24,-1554.807129029804,-1516.2094193048658,-1563.9259051685278,-1559.6919869720673,-1648.958696949326,-1505.5524944731617,48000
25,-1579.4336304482445,-1531.4213883110565,-1527.5457167705454,-1546.6628096368286,-1528.4107394457599,-1497.0132629133936,50000
26,-1501.0040270359978,-1605.2428793099134,-1534.8558169788737,-1560.950779972587,-1468.7545253948183,-1642.7496859214757,52000
27,-1403.9081239311158,-1615.2154014057062,-1645.3003284649392,-1492.871861521667,-1490.1180505281466,-1458.7821498364005,54000
28,-1473.5507222107422,-1489.673625401488,-1606.7122081716807,-1493.5947568417469,-1478.9265678364527,-1568.817152866363,56000
29,-1574.7153634206452,-1548.930287042061,-1440.4832711049369,-1562.6805870973424,-1437.164026470983,-1464.9327926342885,58000
30,-1477.7180140004177,-1504.1206199186104,-1501.7125268881405,-1422.0607354871026,-1506.0017360852007,-1622.7526831233633,60000
31,-1493.189173748697,-1403.872995020434,-1490.9783731842585,-1410.8511905494795,-1546.742059212281,-1512.93696166073,62000
32,-1508.4459683389516,-1513.1982541830582,-1626.3785675814063,-1325.7066436316647,-1504.341993559783,-1475.1714280617598,64000
33,-1539.1484060819616,-1557.6558963973914,-1370.2041859887988,-1431.289787226411,-1553.9408397196955,-1499.1981478355174,66000
34,-1569.064181914564,-1438.4673407360242,-1525.734950906327,-1460.1156516207038,-1355.918578749646,-1429.5205204970864,68000
35,-1520.9948159733776,-1475.9419249192802,-1502.1250386627287,-1498.9577507714419,-1571.5298591558058,-1565.917396735484,70000
36,-1517.1296768412083,-1492.3036200033282,-1564.062349613238,-1492.8903983157481,-1502.0491953348346,-1359.6579722754875,72000
37,-1576.9767025947847,-1426.560191112894,-1476.1740570048592,-1522.024449564532,-1597.7943496888126,-1527.4953186606588,74000
38,-1484.9747123556924,-1492.0846262489572,-1548.611941719915,-1465.0367396806332,-1500.7553151784641,-1500.6608641996784,76000
39,-1639.5331538237199,-1474.20013622128,-1494.38728249634,-1494.6156678231052,-1529.06215276288,-1554.7371088654936,78000
40,-1598.0007186892956,-1500.8396667800316,-1564.2816956199356,-1518.1431081676571,-1509.6824120989047,-1357.9691202397585,80000
41,-1549.8640567752634,-1577.571986372334,-1498.361393041326,-1577.903599591602,-1475.6839688703542,-1490.0378947715865,82000
42,-1507.8745765173628,-1516.8206756910672,-1463.4597665440103,-1368.0544001213275,-1487.8335251236333,-1460.4957471410726,84000
43,-1455.7532942583111,-1493.9800831629243,-1371.440636702089,-1541.7772301773489,-1456.139574062896,-1415.360962915895,86000
44,-1428.3883312857251,-1582.775555335866,-1532.48630208475,-1590.3778225707622,-1505.9600896361494,-1529.1296929810064,88000
45,-1434.946976797561,-1512.675476209316,-1424.2111006085786,-1405.9693129517002,-1440.1314172198456,-1503.28051644865,90000
46,-1428.9432291264843,-1515.7135611986766,-1532.9747746801143,-1431.4433723296552,-1385.0356478591923,-1434.2818177678118,92000
47,-1501.2826314014053,-1548.9025936692485,-1500.5381713631273,-1503.7810432463784,-1478.3963476145068,-1559.577850585805,94000
48,-1454.936421540544,-1572.930300002293,-1503.8509182230403,-1505.7739008749263,-1492.412338877746,-1447.4408924691222,96000
49,-1328.1069447133218,-1509.080777234666,-1521.8924621975211,-1569.575015411523,-1501.864430652337,-1425.3246413459863,98000
50,-1480.7489086837759,-1451.3181381047114,-1507.4338498545224,-1512.806329833203,-1525.2478749393651,-1489.7958504245883,100000
51,-1494.261044409219,-1584.6443501801027,-1573.6976629187473,-1465.5090113611914,-1437.088746784295,-1619.2778559787776,102000
52,-1621.458569086331,-1636.7467218734766,-1547.7188883355896,-1492.1427926084493,-1658.428512912258,-1554.5927740972033,104000
53,-1376.8756686678223,-1367.7455328062058,-1647.2505601113623,-1359.7695737262484,-1441.187545342236,-1548.8150735256029,106000
54,-1493.2780378805849,-1555.6478866194695,-1638.2526447719556,-1481.3371402046291,-1606.4889347401818,-1509.1322785297102,108000
55,-1576.6184983975766,-1493.3251846125972,-1395.8707629910632,-1562.923589480173,-1640.311078433564,-1442.0549828641608,110000
56,-1530.0617196097287,-1385.7519576001112,-1528.3370489609426,-1370.851705185013,-1506.9728323470279,-1639.14935259623,112000
57,-1642.6208135328043,-1486.7376575584872,-1504.5064683006115,-1410.260802384131,-1379.2727686032704,-1560.0190931262634,114000
58,-1463.6381127387767,-1514.7551379037322,-1545.2033345894079,-1532.4632029545703,-1537.393025180647,-1534.3589255873474,116000
59,-1371.3758542801916,-1583.901824515642,-1551.4861603388488,-1637.2145515388258,-1327.5430145770852,-1656.41904311602,118000
60,-1586.888117701273,-1470.2376884037353,-1349.4481879995433,-1501.3740844335146,-1640.880477742894,-1550.3272305238038,120000
61,-1580.845163763615,-1474.9207102017474,-1495.7105646335442,-1531.924524152265,-1553.245908573949,-1641.2718016007893,122000
62,-1505.9148926452194,-1493.10091853729,-1624.7998153613662,-1507.5922594082956,-1497.27556925135,-1389.1773964749016,124000
63,-1564.940321375549,-1551.2374957684906,-1451.7679360011539,-1567.3182977559338,-1377.0760382236372,-1514.3143661139027,126000
64,-1653.533411630654,-1530.2465743027897,-1524.5133726917697,-1594.720144316056,-1348.361911969192,-1622.5024131999246,128000
65,-1486.3440751801804,-1403.4982587210543,-1514.314256174884,-1394.4652527441935,-1436.3747252441078,-1356.175613157644,130000
66,-1522.1627414050395,-1570.203728135831,-1485.1291308968782,-1577.7411988856704,-1641.4055390171702,-1612.3609114272006,132000
67,-1642.3884307751725,-1585.9092667959526,-1548.8243579169953,-1647.724657704909,-1461.62784205625,-1363.5713933519953,134000
68,-1550.0788605551943,-1401.943799952424,-1597.1131869739788,-1645.0480420954725,-1633.0906901966496,-1624.8866538955035,136000
69,-1567.2123868333508,-1378.222087586975,-1488.9472504021282,-1513.699357275196,-1404.4824935151985,-1526.0341352937082,138000
70,-1385.9393533122725,-1627.3324709561007,-1591.8246893479215,-1635.737598152919,-1527.1136622984855,-1278.3862714842921,140000
71,-1632.6624301795443,-1542.3183195900235,-1527.8648841161516,-1631.3017639966374,-1489.9762707257723,-1477.715380122197,142000
72,-1542.6334385121297,-1493.5294770454834,-1533.8611992421966,-1588.1538276259103,-1634.6078872622477,-1482.9845586291187,144000
73,-1527.688344657989,-1527.370526326691,-1334.3217110833132,-1620.7816301680355,-1529.7482824432866,-1627.168390133127,146000
74,-1579.7458285406274,-1504.610792285254,-1478.328732493906,-1370.0418510080378,-1493.517040039965,-1257.3369689050814,148000
75,-1516.1893897465532,-1441.0839563396548,-1568.4123273754496,-1551.7791131748663,-1638.9619463312272,-1562.0560977774524,150000
76,-1282.854269162591,-1485.4910352745862,-1564.0863845060214,-1439.0869149908717,-1597.1413875026842,-1499.8190956160295,152000
77,-1360.0585490349765,-1353.425384157735,-1341.1761494439445,-1583.7769209477108,-1601.7941349774267,-1551.2170408308052,154000
78,-1593.831926089327,-1508.4916626893223,-1448.9927220014995,-1575.1726425534796,-1481.213682290158,-1591.2106889839263,156000
79,-1553.0811555379344,-1571.033029619357,-1508.2642409321306,-1464.259672686835,-1510.3895517961053,-1384.5519683413877,158000
80,-1532.3614718387098,-1422.7475807556589,-1440.8200000121253,-1441.5230903240454,-1512.2509398914058,-1347.7590433727448,160000
81,-1329.0195666416107,-1329.2959433672852,-1451.8589727529566,-1522.1098383598226,-1400.2716412677498,-1519.5694422075983,162000
82,-1328.528683163857,-1546.9720447260215,-1420.2426006438325,-1443.8686466750687,-1462.918566214294,-1605.9885321225559,164000
83,-1478.7991242987275,-1529.206854478368,-1435.2384141051361,-1462.5756086681836,-1402.9974904707099,-1340.884089898751,166000
84,-1510.1952325991228,-1464.3452369128665,-1473.3011448204184,-1527.1857575268357,-1462.3177633627417,-1515.6059688949804,168000
85,-1382.3159194781576,-1531.5182434599262,-1502.6357046813503,-1484.0669881666947,-1494.3133899419058,-1378.7249913187648,170000
86,-1519.1248383246402,-1504.8236966184963,-1427.7709943754535,-1454.6994760038558,-1494.1271691324744,-1453.8887886048542,172000
87,-1519.4652390416704,-1555.8158549194513,-1508.3467589669488,-1507.6126013447845,-1456.6246480944728,-1516.0819972322513,174000
88,-1378.2060130288085,-1496.5683588940576,-1468.831801074665,-1518.9124957119807,-1624.2955800991838,-1539.4218898540992,176000
89,-1422.844872514661,-1583.3979735512278,-1518.8590656069443,-1535.346051008395,-1565.6767402153985,-1637.9971561276666,178000
90,-1620.263581554363,-1585.8380236491425,-1355.29666820919,-1460.9597265979673,-1585.3901952008491,-1505.044337537159,180000
91,-1642.9757276337673,-1544.575138041178,-1524.6502874366067,-1537.8943896803146,-1406.498255578116,-1386.7866591841732,182000
92,-1452.6327805250053,-1479.8118164328257,-1579.3199258672234,-1441.4420939424688,-1542.6787812427676,-1543.1079715305784,184000
93,-1498.3814948905383,-1557.4227303395246,-1510.9118714530387,-1537.461150881109,-1388.1693891034338,-1438.9308553761336,186000
94,-1578.9439697944065,-1597.397493404263,-1502.1810301282767,-1504.4121123133361,-1429.690291918981,-1315.984723970196,188000
95,-1433.1280194927551,-1354.7508748197877,-1511.2845656055104,-1512.7053513866758,-1509.2545634985838,-1510.405785365035,190000
96,-1609.045249944492,-1373.5874088452226,-1579.3825653557294,-1497.599845855229,-1373.259802308738,-1627.7790518409172,192000
97,-1509.2054290098185,-1504.7151124389547,-1647.2712583657546,-1370.7410029005605,-1546.7502283232843,-1615.1285406011884,194000
98,-1279.314507864187,-1577.9380136141335,-1450.8373542771599,-1242.262034246062,-1641.114567836238,-1536.8381488801003,196000
99,-1391.8267100642365,-1381.8142758245133,-1436.6488806262178,-1532.6372094877447,-1450.971221572349,-1608.6022959173688,198000
100,-1552.449174893396,-1229.057305056526,-1621.7142711990793,-1362.7901050938308,-1603.9781499969315,-1342.836369270221,200000
101,-1290.7445411228953,-1530.7342961497734,-1501.4475570941208,-1365.0567211954994,-1627.0975646190727,-1505.960640302073,202000
102,-1530.908753508135,-1473.6531990944807,-1642.6863262457118,-1531.1219109153506,-1365.4808870369714,-1394.2322593593835,204000
103,-1452.4153158539941,-1526.0796995680478,-1597.3230861419315,-1099.624491089239,-1483.393437265792,-1396.8749355796474,206000
104,-1515.4492990073454,-1353.6084895812621,-1540.0031967350333,-1285.5710071344495,-1498.9940878851091,-1377.5706240944473,208000
105,-1651.1482076129896,-1583.0746902883923,-1315.8261477052108,-1562.9819735916924,-1401.1863431721906,-1620.9039686256551,210000
106,-1506.3330514275722,-1420.3828869789982,-1491.173810557171,-1298.1745795485795,-1356.8344325368603,-1408.8652765444306,212000
107,-1500.9774062053273,-1544.4188319703915,-1527.174564075475,-1537.3895612515648,-1475.4934679706464,-1378.0657431889026,214000
108,-1503.7090586276122,-1570.699173357201,-1520.0234219018093,-1452.5515120023324,-1613.1533398227014,-1441.6569732080084,216000
109,-1511.7336932586854,-1632.975891674369,-1407.31876928691,-1519.688315437719,-1508.0204561639796,-1576.9087554204684,218000
110,-1567.56329745153,-1632.696089937403,-1506.244167018684,-1488.4950156129914,-1523.571118351041,-1569.2733382255337,220000
111,-1376.9592016614884,-1497.9223755143082,-1543.0155941758244,-1607.5387122941715,-1517.768614342315,-1629.275783893406,222000
112,-1356.4521281621583,-1402.2721200624212,-1564.9660082067069,-1550.4751879578976,-1372.675864322183,-1565.6458386817158,224000
113,-1120.4306414993866,-1415.3678625131015,-1378.3454569583378,-1426.011107247864,-1522.832564023726,-1506.8484336596994,226000
114,-1522.3596862951551,-1515.0742683880421,-1370.8272045301628,-1555.7144948907537,-1498.0271531683832,-1510.627178020125,228000
115,-1502.195755718499,-1426.7046949665612,-1410.2806468053118,-1048.6303138010746,-1374.1885957951706,-1353.7227139609697,230000
116,-1320.933628881827,-1161.2195454667703,-1530.3727709255904,-1525.4051117766398,-1558.1216958681473,-1236.7815524489342,232000
117,-1358.3851406640208,-1373.1876448877972,-1513.9505224523248,-1641.109399406339,-1492.407727078166,-1509.1802427074947,234000
118,-1515.2270708237534,-1363.5178020635003,-1244.326209599349,-1078.9019151254804,-1525.7443633265582,-1353.3817799606106,236000
