,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
109,16.0,10.0,14.0,18.0,11.0,16.0,22000
110,11.0,12.0,23.0,11.0,10.0,11.0,22200
111,12.0,10.0,12.0,12.0,16.0,12.0,22400
112,14.0,13.0,12.0,24.0,22.0,11.0,22600
113,16.0,13.0,27.0,24.0,12.0,13.0,22800
114,13.0,21.0,23.0,13.0,12.0,10.0,23000
115,19.0,14.0,10.0,9.0,10.0,16.0,23200
116,11.0,19.0,13.0,10.0,9.0,13.0,23400
117,10.0,10.0,14.0,10.0,18.0,13.0,23600
118,25.0,13.0,10.0,21.0,11.0,10.0,23800
119,11.0,18.0,12.0,10.0,10.0,12.0,24000
120,15.0,13.0,34.0,12.0,15.0,14.0,24200
121,12.0,12.0,13.0,15.0,15.0,11.0,24400
122,32.0,15.0,24.0,13.0,10.0,9.0,24600
123,10.0,10.0,11.0,10.0,18.0,15.0,24800
124,44.0,14.0,18.0,57.0,12.0,15.0,25000
125,12.0,14.0,16.0,12.0,14.0,13.0,25200
126,10.0,17.0,15.0,10.0,16.0,17.0,25400
127,17.0,13.0,10.0,12.0,11.0,16.0,25600
128,16.0,37.0,20.0,14.0,15.0,18.0,25800
129,16.0,24.0,12.0,13.0,20.0,8.0,26000
130,12.0,11.0,19.0,15.0,10.0,13.0,26200
131,20.0,11.0,13.0,14.0,12.0,9.0,26400
132,13.0,15.0,10.0,10.0,14.0,9.0,26600
133,18.0,12.0,13.0,13.0,10.0,19.0,26800
134,10.0,12.0,11.0,9.0,14.0,13.0,27000
135,13.0,28.0,12.0,15.0,16.0,14.0,27200
136,13.0,13.0,11.0,23.0,14.0,13.0,27400
137,17.0,13.0,13.0,32.0,9.0,13.0,27600
138,9.0,26.0,17.0,15.0,20.0,11.0,27800
139,14.0,18.0,11.0,14.0,10.0,12.0,28000
140,13.0,12.0,14.0,14.0,10.0,13.0,28200
141,13.0,11.0,13.0,13.0,13.0,9.0,28400
142,13.0,9.0,13.0,13.0,13.0,14.0,28600
143,12.0,14.0,18.0,14.0,12.0,9.0,28800
144,10.0,13.0,11.0,21.0,21.0,11.0,29000
145,14.0,12.0,11.0,18.0,11.0,31.0,29200
146,30.0,13.0,13.0,9.0,12.0,12.0,29400
147,13.0,15.0,40.0,20.0,21.0,10.0,29600
148,12.0,14.0,13.0,10.0,11.0,27.0,29800
149,22.0,13.0,12.0,13.0,22.0,13.0,30000
150,14.0,14.0,9.0,26.0,18.0,13.0,30200
151,24.0,18.0,12.0,16.0,14.0,18.0,30400
152,13.0,13.0,28.0,15.0,10.0,11.0,30600
153,33.0,11.0,15.0,10.0,8.0,14.0,30800
154,11.0,14.0,15.0,10.0,11.0,19.0,31000
155,10.0,13.0,22.0,9.0,15.0,22.0,31200
156,13.0,33.0,16.0,11.0,19.0,11.0,31400
157,10.0,16.0,12.0,9.0,15.0,44.0,31600
158,10.0,10.0,14.0,17.0,14.0,21.0,31800
159,12.0,11.0,24.0,10.0,13.0,14.0,32000
160,11.0,11.0,12.0,14.0,12.0,15.0,32200
161,26.0,11.0,11.0,11.0,14.0,12.0,32400
162,13.0,12.0,12.0,21.0,16.0,14.0,32600
163,11.0,12.0,15.0,12.0,16.0,13.0,32800
164,14.0,14.0,10.0,12.0,10.0,14.0,33000
165,24.0,13.0,9.0,17.0,10.0,10.0,33200
166,9.0,10.0,9.0,11.0,10.0,15.0,33400
167,21.0,14.0,11.0,12.0,10.0,12.0,33600
168,13.0,16.0,10.0,12.0,9.0,17.0,33800
169,10.0,10.0,9.0,10.0,21.0,12.0,34000
170,13.0,12.0,25.0,9.0,23.0,14.0,34200
