,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
90,-75.0,-88.0,-204.0,-75.0,-83.0,-80.0,182000
91,-79.0,-81.0,-71.0,-71.0,-70.0,-88.0,184000
92,-82.0,-91.0,-75.0,-76.0,-70.0,-70.0,186000
93,-79.0,-76.0,-77.0,-77.0,-77.0,-71.0,188000
94,-72.0,-74.0,-76.0,-79.0,-89.0,-84.0,190000
95,-85.0,-79.0,-70.0,-77.0,-101.0,-92.0,192000
96,-77.0,-81.0,-64.0,-70.0,-78.0,-89.0,194000
97,-71.0,-74.0,-73.0,-92.0,-128.0,-86.0,196000
98,-83.0,-83.0,-72.0,-83.0,-63.0,-71.0,198000
99,-92.0,-88.0,-77.0,-88.0,-83.0,-77.0,200000
100,-69.0,-78.0,-69.0,-68.0,-92.0,-62.0,202000
101,-91.0,-85.0,-76.0,-74.0,-87.0,-103.0,204000
102,-99.0,-70.0,-72.0,-78.0,-92.0,-68.0,206000
103,-81.0,-77.0,-79.0,-70.0,-102.0,-89.0,208000
104,-77.0,-79.0,-92.0,-65.0,-150.0,-76.0,210000
105,-81.0,-71.0,-80.0,-85.0,-95.0,-77.0,212000
106,-68.0,-78.0,-81.0,-79.0,-73.0,-78.0,214000
107,-78.0,-77.0,-75.0,-73.0,-81.0,-75.0,216000
108,-71.0,-73.0,-89.0,-77.0,-105.0,-70.0,218000
109,-91.0,-71.0,-64.0,-76.0,-62.0,-88.0,222000
110,-68.0,-78.0,-73.0,-83.0,-77.0,-84.0,224000
111,-77.0,-97.0,-78.0,-85.0,-81.0,-63.0,226000
112,-82.0,-76.0,-92.0,-82.0,-104.0,-80.0,228000
113,-70.0,-62.0,-78.0,-92.0,-79.0,-81.0,230000
114,-70.0,-82.0,-81.0,-77.0,-134.0,-63.0,232000
115,-127.0,-77.0,-70.0,-82.0,-119.0,-76.0,236000
116,-140.0,-85.0,-76.0,-81.0,-72.0,-78.0,238000
117,-70.0,-80.0,-63.0,-76.0,-69.0,-78.0,240000
118,-77.0,-81.0,-77.0,-70.0,-75.0,-92.0,242000
119,-87.0,-86.0,-83.0,-80.0,-86.0,-75.0,244000
120,-136.0,-70.0,-83.0,-93.0,-75.0,-75.0,246000
121,-113.0,-74.0,-69.0,-70.0,-107.0,-77.0,248000
122,-73.0,-81.0,-80.0,-73.0,-63.0,-77.0,250000
123,-96.0,-70.0,-85.0,-78.0,-78.0,-69.0,252000
124,-78.0,-77.0,-78.0,-70.0,-69.0,-109.0,254000
125,-86.0,-70.0,-72.0,-132.0,-87.0,-115.0,256000
126,-62.0,-69.0,-70.0,-85.0,-70.0,-70.0,258000
127,-85.0,-90.0,-86.0,-73.0,-62.0,-61.0,260000
128,-87.0,-63.0,-91.0,-71.0,-70.0,-79.0,262000
129,-79.0,-76.0,-70.0,-69.0,-107.0,-79.0,264000
130,-70.0,-117.0,-62.0,-185.0,-70.0,-70.0,266000
131,-94.0,-70.0,-88.0,-89.0,-79.0,-63.0,268000
132,-69.0,-62.0,-69.0,-91.0,-87.0,-91.0,270000
133,-73.0,-73.0,-70.0,-70.0,-67.0,-79.0,274000
134,-70.0,-258.0,-70.0,-63.0,-102.0,-70.0,276000
135,-70.0,-89.0,-75.0,-92.0,-70.0,-69.0,278000
136,-70.0,-79.0,-79.0,-108.0,-69.0,-70.0,280000
137,-75.0,-71.0,-70.0,-69.0,-75.0,-71.0,282000
138,-95.0,-72.0,-79.0,-80.0,-75.0,-74.0,284000
139,-80.0,-72.0,-75.0,-93.0,-70.0,-77.0,286000
140,-71.0,-84.0,-76.0,-76.0,-70.0,-95.0,288000
141,-87.0,-75.0,-79.0,-77.0,-70.0,-62.0,290000
142,-80.0,-77.0,-72.0,-81.0,-76.0,-77.0,292000
143,-77.0,-77.0,-72.0,-88.0,-78.0,-109.0,294000
144,-75.0,-211.0,-116.0,-63.0,-69.0,-62.0,296000
145,-109.0,-86.0,-80.0,-80.0,-92.0,-86.0,298000
146,-70.0,-71.0,-77.0,-70.0,-86.0,-74.0,300000
147,-152.0,-70.0,-79.0,-95.0,-70.0,-70.0,302000
