,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,-1104.9542705991494,-1048.4043078968823,-1249.1940913822575,-1455.0044500464114,-1165.9660196631842,-1284.9065051668658,256
1,-1059.066413853149,-1173.3731200157665,-1250.4317648164176,-1162.0557203234473,-1018.5985624405146,-1140.599447051665,512
2,-1268.4549502470102,-955.705362305773,-1049.1405598527529,-1374.0403550521835,-1531.857300139593,-1363.2338091559695,768
3,-1266.896767132525,-998.0880484573391,-1073.9781075960793,-1873.8031841858563,-1117.527843408156,-1354.944282787724,1024
4,-1647.737840180279,-1695.8958069795417,-1775.45140722236,-877.798103647559,-972.6740839009523,-1300.8478995306057,1280
5,-917.4051647948613,-884.0408930938273,-941.4174004035494,-1072.3364999973205,-1290.0221497689722,-742.0153397991894,1536
6,-1128.7103204128296,-1174.8372332170609,-1144.7428996210774,-1082.065740968973,-1108.611774811806,-1026.7289845404325,1792
7,-990.2254631211977,-1132.9609791361609,-1178.4911986962084,-1276.1871602725266,-1262.9602655186109,-1020.5084457070003,2048
8,-1173.8959210248413,-1121.0591891985337,-1191.3082799926372,-1023.8372117481692,-1032.5078965807993,-1012.1370267306413,2304
9,-1085.2572349191673,-1299.75012870935,-1140.109863571772,-923.0654157870362,-1112.9404036576411,-1197.8081068010663,2560
10,-1196.3876892707485,-1165.8907906610852,-1042.1732410783416,-1065.8752154367019,-1464.8682103205049,-1148.1866179243027,2816
11,-1126.244939407481,-1135.3451445004594,-983.6431707024014,-1083.6192001350146,-1082.1294857957303,-1571.4812547200681,3072
12,-1277.143792460109,-1463.166982967807,-1258.426741272057,-1226.8290394768426,-1466.9903349464971,-1784.9251221685633,3328
13,-1186.1147323426633,-1169.5616390018317,-1147.1628601425944,-1335.8646123535198,-1024.7381450368198,-1150.8209987468265,3584
14,-1168.3381040143586,-1238.3669819568358,-1482.1323011723453,-1020.2562738350894,-1100.5338314716773,-1094.3615694761033,3840
15,-1132.3111814713343,-1514.2041790691999,-988.0261604106926,-1455.1739455945462,-1059.163310513509,-999.9831420049452,4096
16,-863.3524731603928,-1214.9750800558604,-1029.769987586501,-1063.6376221616456,-1457.8149127472975,-1623.6971674234608,4352
17,-1068.4088703007628,-1339.4806953834186,-1541.377652847012,-1410.3724091462248,-1406.7324904656346,-975.3306234846548,4608
18,-1027.8314362465235,-1091.0759626397437,-1036.4092448230413,-1636.9883035152816,-1378.5701450483773,-1340.6625159301173,4864
19,-968.5324368596607,-1374.3057989273118,-974.6954978233999,-1003.6045170774901,-1351.1696743545479,-907.7023459633053,5120
20,-1568.5569548043254,-949.1141725876284,-1177.4184408727517,-890.429240151417,-1416.0765914547346,-1526.3025385625276,5376
21,-1439.476916551029,-873.9558941087814,-1216.3796458570273,-1688.0849183339208,-1384.9778164930979,-1488.2958727423636,5632
22,-1152.0758201565966,-1214.161338864138,-1673.5650816643424,-862.6181031535472,-1107.120445509859,-1027.7798459686219,5888
23,-971.4398857653748,-1056.5969707633471,-1302.7890951726154,-1212.6831789812443,-1096.7452800835113,-1387.060185646877,6144
24,-1071.2369824673272,-1409.4583049983562,-1330.082453492615,-1394.8207697547846,-1143.5153120443224,-907.3059340353035,6400
25,-893.058309666826,-1088.539488142359,-1081.9565606802184,-994.7244422212599,-1082.5398309918423,-1475.7586300722833,6656
26,-1099.9115823503628,-1393.67906889937,-857.9213729603811,-1034.681796485379,-1549.6392089548103,-1135.4537887606696,6912
27,-1656.8678209246746,-1397.3100555242936,-1030.3482250972345,-994.9874839280292,-1195.0821095695683,-1303.189163152704,7168
28,-1542.0550984813572,-1154.1692955819133,-1563.753201816884,-1482.866615113402,-1367.2929006522943,-1390.3781707777855,7424
29,-1177.523249929159,-1484.827293693802,-1480.3447232560934,-1163.43367469845,-1451.0344363228508,-1340.2939408668224,7680
30,-1460.9907252339453,-1537.013827938435,-1279.9080234927133,-1586.5386158200527,-1532.4866881282317,-1507.2332295174629,7936
31,-1652.362700035084,-1563.9136820063798,-1649.7247019498086,-1509.622475099753,-1513.2436849121602,-1456.503599335127,8192
32,-1647.2040617922437,-1494.8118670738215,-1655.4730038869395,-1544.814037031128,-1525.6681016483299,-1142.0947459741344,8448
33,-1449.7418622570015,-1652.735190131021,-1647.7479718843285,-1646.3660651113787,-1633.1167360028455,-1573.064208064232,8704
34,-1002.9358377677908,-1639.1193618140692,-1465.6561784225985,-1600.675175335359,-1331.4343399231939,-1580.0305318425856,8960
35,-1634.903110258226,-1460.2554597557576,-1494.0864246689773,-1571.729541180545,-1608.1234672174114,-1450.7483408757832,9216
36,-1597.7762025760564,-1519.0302378315957,-1143.4620876099254,-1550.9957565736822,-1417.8015862898803,-1349.576094612128,9472
